source_system,return_id,order_number,line_number,store_id,quantity_returned,refund_net_native,currency_code,return_reason_code,return_local_ts,return_utc_ts,ingestion_date
OMS,990043,ORD800582,1,2003,2,175.8,SAR,LateDelivery,2025-08-28 13:46:22+0300,2025-08-28 10:46:22+0000,2025-08-20
OMS,990044,ORD800589,4,2001,1,40.69,AED,LateDelivery,2025-08-25 06:28:37+0400,2025-08-25 02:28:37+0000,2025-08-20
OMS,990045,ORD800655,1,2006,3,241.06,AED,WrongItem,2025-09-01 04:40:13+0400,2025-09-01 00:40:13+0000,2025-08-20
OMS,990046,ORD800663,2,2006,3,269.92,AED,WrongItem,2025-09-01 06:40:10+0400,2025-09-01 02:40:10+0000,2025-08-20
OMS,990047,ORD800666,2,2007,1,68.61,SAR,WrongItem,2025-08-19 22:27:10+0300,2025-08-19 19:27:10+0000,2025-08-20
OMS,990048,ORD800682,2,2007,2,136.76,SAR,Damaged,2025-09-02 13:18:24+0300,2025-09-02 10:18:24+0000,2025-08-20
OMS,990049,ORD800688,1,2003,2,21.41,SAR,WrongItem,2025-08-20 21:49:30+0300,2025-08-20 18:49:30+0000,2025-08-20
OMS,990050,ORD800701,1,2000,2,162.23,AED,LateDelivery,2025-09-04 17:28:49+0400,2025-09-04 13:28:49+0000,2025-08-20
OMS,990051,ORD800733,1,2000,2,70.99,AED,Damaged,2025-09-06 04:55:06+0400,2025-09-06 00:55:06+0000,2025-08-20
OMS,990052,ORD800735,2,2001,1,102.91,AED,LateDelivery,2025-09-03 04:21:48+0400,2025-09-03 00:21:48+0000,2025-08-20
OMS,990053,ORD800741,1,2006,1,93.13,AED,ChangedMind,2025-08-24 10:26:24+0400,2025-08-24 06:26:24+0000,2025-08-20
OMS,990054,ORD800750,1,2005,1,78.33,SAR,LateDelivery,2025-08-26 20:42:44+0300,2025-08-26 17:42:44+0000,2025-08-20
OMS,990055,ORD800766,1,2005,1,46.49,SAR,Damaged,2025-09-07 16:47:33+0300,2025-09-07 13:47:33+0000,2025-08-20
OMS,990056,ORD800768,1,2001,1,48.47,AED,WrongItem,2025-08-30 04:36:43+0400,2025-08-30 00:36:43+0000,2025-08-20
OMS,990057,ORD800778,3,2001,2,200.75,AED,LateDelivery,2025-09-05 00:10:51+0400,2025-09-04 20:10:51+0000,2025-08-20
OMS,990058,ORD800793,1,2002,1,87.31,AED,WrongItem,2025-09-11 05:26:20+0400,2025-09-11 01:26:20+0000,2025-08-20
OMS,990059,ORD800798,1,2003,2,150.75,SAR,Damaged,2025-08-13 07:52:17+0300,2025-08-13 04:52:17+0000,2025-08-20
OMS,990060,ORD800809,3,2007,1,28.0,SAR,ChangedMind,2025-08-19 15:02:56+0300,2025-08-19 12:02:56+0000,2025-08-20
OMS,990061,ORD800872,1,2003,1,78.01,SAR,WrongItem,2025-08-11 19:25:50+0300,2025-08-11 16:25:50+0000,2025-08-20
OMS,990062,ORD800893,1,2005,1,100.6,SAR,Damaged,2025-08-24 17:38:42+0300,2025-08-24 14:38:42+0000,2025-08-20
OMS,990063,ORD800922,2,2005,2,84.92,SAR,Damaged,2025-08-23 17:57:57+0300,2025-08-23 14:57:57+0000,2025-08-20
OMS,990064,ORD800923,1,2007,2,78.27,SAR,LateDelivery,2025-09-09 02:16:21+0300,2025-09-08 23:16:21+0000,2025-08-20
OMS,990065,ORD800945,3,2002,2,218.3,AED,LateDelivery,2025-08-21 18:37:11+0400,2025-08-21 14:37:11+0000,2025-08-20
OMS,990066,ORD800949,1,2001,1,73.63,AED,Damaged,2025-09-05 23:51:13+0400,2025-09-05 19:51:13+0000,2025-08-20
OMS,990067,ORD800958,1,2002,1,85.51,AED,Damaged,2025-09-12 23:32:19+0400,2025-09-12 19:32:19+0000,2025-08-20
OMS,990068,ORD800996,1,2003,2,107.3,SAR,LateDelivery,2025-08-11 10:18:59+0300,2025-08-11 07:18:59+0000,2025-08-20
OMS,990069,ORD801002,1,2002,1,66.36,AED,ChangedMind,2025-08-28 04:40:23+0400,2025-08-28 00:40:23+0000,2025-08-20
OMS,990070,ORD801027,1,2007,1,82.08,SAR,Damaged,2025-09-01 13:40:38+0300,2025-09-01 10:40:38+0000,2025-08-20
OMS,990071,ORD801057,1,2005,2,129.29,SAR,ChangedMind,2025-09-07 03:42:30+0300,2025-09-07 00:42:30+0000,2025-08-20
OMS,990072,ORD801073,1,2005,1,106.7,SAR,WrongItem,2025-08-15 00:30:34+0300,2025-08-14 21:30:34+0000,2025-08-20
OMS,990073,ORD801076,1,2006,1,77.39,AED,LateDelivery,2025-08-08 13:16:40+0400,2025-08-08 09:16:40+0000,2025-08-20
OMS,990074,ORD801078,1,2003,1,91.77,SAR,WrongItem,2025-09-07 12:41:35+0300,2025-09-07 09:41:35+0000,2025-08-20
