source_system,return_id,order_number,line_number,store_id,quantity_returned,refund_net_native,currency_code,return_reason_code,return_local_ts,return_utc_ts,ingestion_date
OMS,990185,ORD802696,2,2002,1,107.04,AED,WrongItem,2025-10-21 10:43:10+0400,2025-10-21 06:43:10+0000,2025-10-20
OMS,990186,ORD802702,1,2007,1,78.82,SAR,WrongItem,2025-10-17 19:10:36+0300,2025-10-17 16:10:36+0000,2025-10-20
OMS,990187,ORD802712,1,2007,1,37.8,SAR,Damaged,2025-11-11 07:58:05+0300,2025-11-11 04:58:05+0000,2025-10-20
OMS,990188,ORD802731,2,2001,1,90.22,AED,LateDelivery,2025-10-22 19:50:55+0400,2025-10-22 15:50:55+0000,2025-10-20
OMS,990189,ORD802734,1,2002,2,66.53,AED,Damaged,2025-10-28 12:33:48+0400,2025-10-28 08:33:48+0000,2025-10-20
OMS,990190,ORD802754,1,2002,1,104.76,AED,Damaged,2025-10-24 13:34:47+0400,2025-10-24 09:34:47+0000,2025-10-20
OMS,990191,ORD802755,2,2002,2,176.95,AED,ChangedMind,2025-11-04 20:40:40+0400,2025-11-04 16:40:40+0000,2025-10-20
OMS,990192,ORD802764,2,2006,1,65.94,AED,Damaged,2025-10-25 08:59:27+0400,2025-10-25 04:59:27+0000,2025-10-20
OMS,990193,ORD802808,1,2003,1,68.37,SAR,ChangedMind,2025-11-14 14:01:22+0300,2025-11-14 11:01:22+0000,2025-10-20
OMS,990194,ORD802820,1,2006,1,127.48,AED,WrongItem,2025-10-23 20:11:38+0400,2025-10-23 16:11:38+0000,2025-10-20
OMS,990195,ORD802836,1,2003,1,85.97,SAR,LateDelivery,2025-11-11 08:52:19+0300,2025-11-11 05:52:19+0000,2025-10-20
OMS,990196,ORD802842,1,2005,1,65.66,SAR,Damaged,2025-10-27 06:33:43+0300,2025-10-27 03:33:43+0000,2025-10-20
OMS,990197,ORD802882,2,2006,2,88.68,AED,WrongItem,2025-11-10 03:44:36+0400,2025-11-09 23:44:36+0000,2025-10-20
OMS,990198,ORD802912,1,2006,1,54.16,AED,ChangedMind,2025-10-25 08:40:27+0400,2025-10-25 04:40:27+0000,2025-10-20
OMS,990199,ORD802965,1,2003,1,35.8,SAR,ChangedMind,2025-10-19 10:35:01+0300,2025-10-19 07:35:01+0000,2025-10-20
OMS,990200,ORD802976,2,2007,1,44.35,SAR,LateDelivery,2025-10-06 03:13:51+0300,2025-10-06 00:13:51+0000,2025-10-20
OMS,990201,ORD802982,2,2003,1,47.41,SAR,LateDelivery,2025-10-16 13:17:52+0300,2025-10-16 10:17:52+0000,2025-10-20
OMS,990202,ORD803031,1,2005,2,107.2,SAR,LateDelivery,2025-10-23 02:05:45+0300,2025-10-22 23:05:45+0000,2025-10-20
OMS,990203,ORD803089,1,2007,1,50.97,SAR,LateDelivery,2025-11-02 04:34:36+0300,2025-11-02 01:34:36+0000,2025-10-20
OMS,990204,ORD803166,1,2003,1,68.77,SAR,Damaged,2025-10-26 07:25:20+0300,2025-10-26 04:25:20+0000,2025-10-20
OMS,990205,ORD803167,1,2000,1,34.26,AED,LateDelivery,2025-11-02 08:35:30+0400,2025-11-02 04:35:30+0000,2025-10-20
OMS,990206,ORD803176,1,2004,1,118.72,SAR,LateDelivery,2025-10-17 03:51:09+0300,2025-10-17 00:51:09+0000,2025-10-20
OMS,990207,ORD803188,1,2006,2,149.44,AED,ChangedMind,2025-10-11 19:00:25+0400,2025-10-11 15:00:25+0000,2025-10-20
OMS,990208,ORD803189,1,2007,1,29.39,SAR,Damaged,2025-11-05 05:35:46+0300,2025-11-05 02:35:46+0000,2025-10-20
OMS,990209,ORD803194,1,2007,1,60.08,SAR,LateDelivery,2025-11-04 21:03:23+0300,2025-11-04 18:03:23+0000,2025-10-20
OMS,990210,ORD803205,1,2007,3,118.41,SAR,Damaged,2025-10-20 22:39:55+0300,2025-10-20 19:39:55+0000,2025-10-20
OMS,990211,ORD803258,1,2002,1,35.16,AED,WrongItem,2025-10-13 01:38:56+0400,2025-10-12 21:38:56+0000,2025-10-20
OMS,990212,ORD803273,1,2000,1,54.31,AED,WrongItem,2025-10-19 07:55:45+0400,2025-10-19 03:55:45+0000,2025-10-20
OMS,990213,ORD803288,3,2004,2,168.7,SAR,ChangedMind,2025-11-03 21:58:29+0300,2025-11-03 18:58:29+0000,2025-10-20
OMS,990214,ORD803297,1,2000,1,117.73,AED,ChangedMind,2025-10-08 06:37:10+0400,2025-10-08 02:37:10+0000,2025-10-20
OMS,990215,ORD803316,1,2007,3,231.95,SAR,ChangedMind,2025-10-16 13:23:32+0300,2025-10-16 10:23:32+0000,2025-10-20
OMS,990216,ORD803319,1,2006,1,47.85,AED,WrongItem,2025-10-19 22:48:31+0400,2025-10-19 18:48:31+0000,2025-10-20
OMS,990217,ORD803352,2,2006,2,100.13,AED,Damaged,2025-10-23 08:38:13+0400,2025-10-23 04:38:13+0000,2025-10-20
OMS,990218,ORD803354,1,2004,1,75.74,SAR,WrongItem,2025-10-11 10:33:19+0300,2025-10-11 07:33:19+0000,2025-10-20
OMS,990219,ORD803361,2,2007,2,159.41,SAR,Damaged,2025-10-24 23:53:14+0300,2025-10-24 20:53:14+0000,2025-10-20
OMS,990220,ORD803371,1,2002,1,90.33,AED,WrongItem,2025-10-21 19:21:57+0400,2025-10-21 15:21:57+0000,2025-10-20
OMS,990221,ORD803408,1,2000,1,70.39,AED,ChangedMind,2025-10-12 14:04:05+0400,2025-10-12 10:04:05+0000,2025-10-20
OMS,990222,ORD803410,1,2007,1,65.83,SAR,LateDelivery,2025-10-28 01:18:57+0300,2025-10-27 22:18:57+0000,2025-10-20
OMS,990223,ORD803429,1,2006,2,70.2,AED,ChangedMind,2025-10-29 07:40:39+0400,2025-10-29 03:40:39+0000,2025-10-20
OMS,990224,ORD803454,1,2007,1,58.87,SAR,ChangedMind,2025-10-14 20:08:20+0300,2025-10-14 17:08:20+0000,2025-10-20
OMS,990225,ORD803477,1,2000,2,206.4,AED,LateDelivery,2025-10-09 04:47:27+0400,2025-10-09 00:47:27+0000,2025-10-20
OMS,990226,ORD803480,1,2007,1,86.15,SAR,ChangedMind,2025-11-03 03:32:32+0300,2025-11-03 00:32:32+0000,2025-10-20
OMS,990227,ORD803490,1,2007,1,34.9,SAR,Damaged,2025-10-18 08:38:54+0300,2025-10-18 05:38:54+0000,2025-10-20
OMS,990228,ORD803491,1,2000,1,99.64,AED,WrongItem,2025-10-26 14:43:36+0400,2025-10-26 10:43:36+0000,2025-10-20
OMS,990229,ORD803494,1,2006,2,130.25,AED,LateDelivery,2025-10-22 15:15:16+0400,2025-10-22 11:15:16+0000,2025-10-20
