source_system,order_number,line_number,store_id,sku,quantity,unit_price,gross_amount,vat_amount,net_amount,country,currency_code,category,order_local_ts,order_utc_ts
OMS,ORD500025,1,1000,SKU00179,2,156.34,312.68,15.63,297.05,UAE,AED,Electronics,2025-09-24 11:47:44+0400,2025-09-24 07:47:44+0000
OMS,ORD500025,2,1000,SKU00125,2,37.68,75.36,3.77,71.59,UAE,AED,Accessories,2025-09-24 11:47:44+0400,2025-09-24 07:47:44+0000
OMS,ORD500025,3,1000,SKU00128,1,263.97,263.97,13.2,250.77,UAE,AED,Accessories,2025-09-24 11:47:44+0400,2025-09-24 07:47:44+0000
OMS,ORD500026,1,1004,SKU00042,2,28.03,56.06,8.41,47.65,KSA,SAR,Accessories,2025-08-20 07:19:31+0300,2025-08-20 04:19:31+0000
OMS,ORD500026,2,1004,SKU00139,2,816.19,1632.38,244.86,1387.52,KSA,SAR,Electronics,2025-08-20 07:19:31+0300,2025-08-20 04:19:31+0000
OMS,ORD500026,3,1004,SKU00157,3,882.51,2647.53,397.13,2250.4,KSA,SAR,Accessories,2025-08-20 07:19:31+0300,2025-08-20 04:19:31+0000
OMS,ORD500026,4,1004,SKU00174,3,651.45,1954.35,293.15,1661.2,KSA,SAR,Fashion,2025-08-20 07:19:31+0300,2025-08-20 04:19:31+0000
OMS,ORD500027,1,1002,SKU00149,3,100.13,300.39,15.02,285.37,UAE,AED,Accessories,2025-10-09 12:26:47+0400,2025-10-09 08:26:47+0000
OMS,ORD500027,2,1002,SKU00028,1,737.22,737.22,36.86,700.36,UAE,AED,HomeAppliance,2025-10-09 12:26:47+0400,2025-10-09 08:26:47+0000
OMS,ORD500028,1,1007,SKU00110,2,29.59,59.18,8.88,50.3,KSA,SAR,Accessories,2025-10-03 02:20:25+0300,2025-10-02 23:20:25+0000
OMS,ORD500028,2,1007,SKU00147,3,289.88,869.64,130.45,739.19,KSA,SAR,HomeAppliance,2025-10-03 02:20:25+0300,2025-10-02 23:20:25+0000
OMS,ORD500028,3,1007,SKU00145,3,684.08,2052.24,307.84,1744.4,KSA,SAR,Electronics,2025-10-03 02:20:25+0300,2025-10-02 23:20:25+0000
OMS,ORD500029,1,1002,SKU00135,2,32.49,64.98,3.25,61.73,UAE,AED,HomeAppliance,2025-10-08 02:12:20+0400,2025-10-07 22:12:20+0000
OMS,ORD500029,2,1002,SKU00148,1,691.3,691.3,0.0,691.3,UAE,AED,Accessories,2025-10-08 02:12:20+0400,2025-10-07 22:12:20+0000
OMS,ORD500030,1,1005,SKU00131,3,685.15,2055.45,308.32,1747.13,KSA,SAR,HomeAppliance,2025-09-22 21:48:20+0300,2025-09-22 18:48:20+0000
OMS,ORD500031,1,1006,SKU00185,2,50.09,100.18,5.01,95.17,UAE,AED,Electronics,2025-09-10 17:33:07+0400,2025-09-10 13:33:07+0000
OMS,ORD500031,2,1006,SKU00054,1,78.6,78.6,3.93,74.67,UAE,AED,Fashion,2025-09-10 17:33:07+0400,2025-09-10 13:33:07+0000
OMS,ORD500032,1,1000,SKU00043,2,149.55,299.1,14.96,284.14,UAE,AED,Accessories,2025-08-22 09:39:49+0400,2025-08-22 05:39:49+0000
OMS,ORD500032,2,1000,SKU00110,2,42.65,85.3,4.26,81.04,UAE,AED,Accessories,2025-08-22 09:39:49+0400,2025-08-22 05:39:49+0000
OMS,ORD500033,1,1001,SKU00050,1,111.25,111.25,5.56,105.69,UAE,AED,Electronics,2025-09-13 14:43:58+0400,2025-09-13 10:43:58+0000
OMS,ORD500034,1,1005,SKU00167,3,655.92,1967.76,295.16,1672.6,KSA,SAR,Electronics,2025-09-27 05:05:18+0300,2025-09-27 02:05:18+0000
OMS,ORD500034,2,1005,SKU00057,2,186.19,372.38,55.86,316.52,KSA,SAR,HomeAppliance,2025-09-27 05:05:18+0300,2025-09-27 02:05:18+0000
OMS,ORD500035,1,1001,SKU00049,2,250.44,500.88,25.04,475.84,UAE,AED,Fashion,2025-08-28 00:13:52+0400,2025-08-27 20:13:52+0000
OMS,ORD500035,2,1001,SKU00156,1,34.34,34.34,0.0,34.34,UAE,AED,Fashion,2025-08-28 00:13:52+0400,2025-08-27 20:13:52+0000
OMS,ORD500036,1,1004,SKU00040,1,260.6,260.6,39.09,221.51,KSA,SAR,Fashion,2025-10-18 14:06:34+0300,2025-10-18 11:06:34+0000
OMS,ORD500036,2,1004,SKU00116,1,349.63,349.63,52.44,297.19,KSA,SAR,HomeAppliance,2025-10-18 14:06:34+0300,2025-10-18 11:06:34+0000
OMS,ORD500036,3,1004,SKU00097,1,226.94,226.94,34.04,192.9,KSA,SAR,Accessories,2025-10-18 14:06:34+0300,2025-10-18 11:06:34+0000
OMS,ORD500037,1,1003,SKU00150,2,426.34,852.68,127.9,724.78,KSA,SAR,Electronics,2025-10-24 09:36:59+0300,2025-10-24 06:36:59+0000
OMS,ORD500038,1,1001,SKU00167,3,680.42,2041.26,102.06,1939.2,UAE,AED,Electronics,2025-08-01 15:08:35+0400,2025-08-01 11:08:35+0000
OMS,ORD500038,2,1001,SKU00037,2,718.5,1437.0,0.0,1437.0,UAE,AED,Fashion,2025-08-01 15:08:35+0400,2025-08-01 11:08:35+0000
OMS,ORD500039,1,1000,SKU00106,1,505.44,505.44,25.27,480.17,UAE,AED,Electronics,2025-10-13 16:08:57+0400,2025-10-13 12:08:57+0000
OMS,ORD500040,1,1004,SKU00015,2,458.73,917.46,137.62,779.84,KSA,SAR,Accessories,2025-10-18 05:41:41+0300,2025-10-18 02:41:41+0000
OMS,ORD500041,1,1001,SKU00055,3,204.48,613.44,30.67,582.77,UAE,AED,Electronics,2025-08-16 12:01:59+0400,2025-08-16 08:01:59+0000
OMS,ORD500042,1,1000,SKU00199,2,59.7,119.4,5.97,113.43,UAE,AED,Fashion,2025-10-07 18:46:57+0400,2025-10-07 14:46:57+0000
OMS,ORD500043,1,1002,SKU00145,1,784.34,784.34,39.22,745.12,UAE,AED,Electronics,2025-09-11 00:45:46+0400,2025-09-10 20:45:46+0000
OMS,ORD500043,2,1002,SKU00198,3,412.31,1236.93,61.85,1175.08,UAE,AED,HomeAppliance,2025-09-11 00:45:46+0400,2025-09-10 20:45:46+0000
OMS,ORD500043,3,1002,SKU00021,3,459.39,1378.17,68.91,1309.26,UAE,AED,Fashion,2025-09-11 00:45:46+0400,2025-09-10 20:45:46+0000
OMS,ORD500044,1,1004,SKU00013,3,386.99,1160.97,174.15,986.82,KSA,SAR,HomeAppliance,2025-09-03 00:50:28+0300,2025-09-02 21:50:28+0000
OMS,ORD500044,2,1004,SKU00065,1,695.43,695.43,104.31,591.12,KSA,SAR,HomeAppliance,2025-09-03 00:50:28+0300,2025-09-02 21:50:28+0000
OMS,ORD500044,3,1004,SKU00068,2,97.54,195.08,29.26,165.82,KSA,SAR,Accessories,2025-09-03 00:50:28+0300,2025-09-02 21:50:28+0000
OMS,ORD500045,1,1005,SKU00071,2,232.01,464.02,69.6,394.42,KSA,SAR,Electronics,2025-08-27 23:29:13+0300,2025-08-27 20:29:13+0000
OMS,ORD500046,1,1006,SKU00092,3,355.25,1065.75,53.29,1012.46,UAE,AED,Electronics,2025-08-16 02:17:36+0400,2025-08-15 22:17:36+0000
OMS,ORD500047,1,1002,SKU00168,1,601.87,601.87,30.09,571.78,UAE,AED,Accessories,2025-08-21 21:43:02+0400,2025-08-21 17:43:02+0000
OMS,ORD500048,1,1005,SKU00032,1,30.01,30.01,4.5,25.51,KSA,SAR,Electronics,2025-10-14 03:04:12+0300,2025-10-14 00:04:12+0000
OMS,ORD500048,2,1005,SKU00093,1,250.16,250.16,37.52,212.64,KSA,SAR,Accessories,2025-10-14 03:04:12+0300,2025-10-14 00:04:12+0000
OMS,ORD500048,3,1005,SKU00066,1,521.2,521.2,78.18,443.02,KSA,SAR,Accessories,2025-10-14 03:04:12+0300,2025-10-14 00:04:12+0000
OMS,ORD500049,1,1002,SKU00128,1,232.55,232.55,11.63,220.92,UAE,AED,Accessories,2025-09-02 16:19:19+0400,2025-09-02 12:19:19+0000
OMS,ORD500050,1,1002,SKU00024,2,677.61,1355.22,67.76,1287.46,UAE,AED,Accessories,2025-08-10 22:10:01+0400,2025-08-10 18:10:01+0000
OMS,ORD500051,1,1003,SKU00163,1,441.37,441.37,66.21,375.16,KSA,SAR,Accessories,2025-08-10 00:06:48+0300,2025-08-09 21:06:48+0000
OMS,ORD500052,1,1005,SKU00019,1,240.72,240.72,36.11,204.61,KSA,SAR,HomeAppliance,2025-09-06 21:17:41+0300,2025-09-06 18:17:41+0000
OMS,ORD500053,1,1005,SKU00087,1,451.53,451.53,67.73,383.8,KSA,SAR,Fashion,2025-08-10 09:21:55+0300,2025-08-10 06:21:55+0000
OMS,ORD500054,1,1000,SKU00096,2,40.51,81.02,4.05,76.97,UAE,AED,Electronics,2025-09-04 20:28:57+0400,2025-09-04 16:28:57+0000
OMS,ORD500054,2,1000,SKU00084,3,153.96,461.88,23.09,438.79,UAE,AED,HomeAppliance,2025-09-04 20:28:57+0400,2025-09-04 16:28:57+0000
OMS,ORD500054,3,1000,SKU00046,1,930.75,930.75,0.0,930.75,UAE,AED,Electronics,2025-09-04 20:28:57+0400,2025-09-04 16:28:57+0000
OMS,ORD500054,4,1000,SKU00181,1,325.21,325.21,16.26,308.95,UAE,AED,Electronics,2025-09-04 20:28:57+0400,2025-09-04 16:28:57+0000
OMS,ORD500055,1,1001,SKU00050,2,100.64,201.28,10.06,191.22,UAE,AED,Electronics,2025-10-22 06:48:18+0400,2025-10-22 02:48:18+0000
OMS,ORD500055,2,1001,SKU00027,1,76.33,76.33,3.82,72.51,UAE,AED,Accessories,2025-10-22 06:48:18+0400,2025-10-22 02:48:18+0000
OMS,ORD500056,1,1001,SKU00097,3,208.69,626.07,31.3,594.77,UAE,AED,Accessories,2025-09-03 09:28:29+0400,2025-09-03 05:28:29+0000
OMS,ORD500056,2,1001,SKU00115,3,50.86,152.58,7.63,144.95,UAE,AED,Fashion,2025-09-03 09:28:29+0400,2025-09-03 05:28:29+0000
OMS,ORD500057,1,1002,SKU00022,1,59.77,59.77,2.99,56.78,UAE,AED,Electronics,2025-09-28 14:47:01+0400,2025-09-28 10:47:01+0000
OMS,ORD500057,2,1002,SKU00107,2,243.94,487.88,24.39,463.49,UAE,AED,Accessories,2025-09-28 14:47:01+0400,2025-09-28 10:47:01+0000
OMS,ORD500057,3,1002,SKU00176,1,518.33,518.33,25.92,492.41,UAE,AED,Accessories,2025-09-28 14:47:01+0400,2025-09-28 10:47:01+0000
OMS,ORD500058,1,1003,SKU00140,1,103.58,103.58,15.54,88.04,KSA,SAR,HomeAppliance,2025-08-26 16:22:41+0300,2025-08-26 13:22:41+0000
OMS,ORD500059,1,1004,SKU00069,3,167.11,501.33,75.2,426.13,KSA,SAR,HomeAppliance,2025-10-18 08:44:42+0300,2025-10-18 05:44:42+0000
OMS,ORD500059,2,1004,SKU00045,3,643.81,1931.43,289.71,1641.72,KSA,SAR,Fashion,2025-10-18 08:44:42+0300,2025-10-18 05:44:42+0000
OMS,ORD500059,3,1004,SKU00190,2,396.46,792.92,118.94,673.98,KSA,SAR,Fashion,2025-10-18 08:44:42+0300,2025-10-18 05:44:42+0000
OMS,ORD500060,1,1005,SKU00005,2,386.69,773.38,116.01,657.37,KSA,SAR,Electronics,2025-08-05 05:14:48+0300,2025-08-05 02:14:48+0000
OMS,ORD500060,2,1005,SKU00153,2,431.3,862.6,129.39,733.21,KSA,SAR,Accessories,2025-08-05 05:14:48+0300,2025-08-05 02:14:48+0000
OMS,ORD500060,3,1005,SKU00016,1,805.06,805.06,120.76,684.3,KSA,SAR,Fashion,2025-08-05 05:14:48+0300,2025-08-05 02:14:48+0000
OMS,ORD500060,4,1005,SKU00012,1,736.55,736.55,110.48,626.07,KSA,SAR,Electronics,2025-08-05 05:14:48+0300,2025-08-05 02:14:48+0000
OMS,ORD500061,1,1001,SKU00165,3,77.2,231.6,11.58,220.02,UAE,AED,Fashion,2025-10-10 20:23:53+0400,2025-10-10 16:23:53+0000
OMS,ORD500061,2,1001,SKU00069,1,83.66,83.66,4.18,79.48,UAE,AED,HomeAppliance,2025-10-10 20:23:53+0400,2025-10-10 16:23:53+0000
OMS,ORD500061,3,1001,SKU00015,2,346.56,693.12,34.66,658.46,UAE,AED,Accessories,2025-10-10 20:23:53+0400,2025-10-10 16:23:53+0000
OMS,ORD500062,1,1004,SKU00072,2,588.97,1177.94,176.69,1001.25,KSA,SAR,Electronics,2025-09-14 14:32:15+0300,2025-09-14 11:32:15+0000
OMS,ORD500062,2,1004,SKU00155,3,743.22,2229.66,334.45,1895.21,KSA,SAR,HomeAppliance,2025-09-14 14:32:15+0300,2025-09-14 11:32:15+0000
OMS,ORD500063,1,1003,SKU00180,3,219.39,658.17,98.73,559.44,KSA,SAR,HomeAppliance,2025-09-22 01:30:07+0300,2025-09-21 22:30:07+0000
OMS,ORD500064,1,1001,SKU00127,3,717.91,2153.73,107.69,2046.04,UAE,AED,Electronics,2025-08-13 02:51:57+0400,2025-08-12 22:51:57+0000
OMS,ORD500065,1,1002,SKU00155,1,586.57,586.57,29.33,557.24,UAE,AED,HomeAppliance,2025-10-29 13:06:14+0400,2025-10-29 09:06:14+0000
OMS,ORD500065,2,1002,SKU00116,2,393.05,786.1,39.31,746.79,UAE,AED,HomeAppliance,2025-10-29 13:06:14+0400,2025-10-29 09:06:14+0000
OMS,ORD500066,1,1002,SKU00160,1,358.47,358.47,17.92,340.55,UAE,AED,Electronics,2025-09-06 18:02:56+0400,2025-09-06 14:02:56+0000
OMS,ORD500066,2,1002,SKU00192,1,385.32,385.32,0.0,385.32,UAE,AED,Accessories,2025-09-06 18:02:56+0400,2025-09-06 14:02:56+0000
OMS,ORD500066,3,1002,SKU00155,1,682.62,682.62,34.13,648.49,UAE,AED,HomeAppliance,2025-09-06 18:02:56+0400,2025-09-06 14:02:56+0000
OMS,ORD500066,4,1002,SKU00171,3,29.48,88.44,4.42,84.02,UAE,AED,Fashion,2025-09-06 18:02:56+0400,2025-09-06 14:02:56+0000
OMS,ORD500067,1,1005,SKU00144,1,107.05,107.05,16.06,90.99,KSA,SAR,Accessories,2025-08-08 15:37:03+0300,2025-08-08 12:37:03+0000
OMS,ORD500068,1,1003,SKU00106,3,584.37,1753.11,262.97,1490.14,KSA,SAR,Electronics,2025-09-23 14:20:52+0300,2025-09-23 11:20:52+0000
OMS,ORD500068,2,1003,SKU00083,3,327.91,983.73,147.56,836.17,KSA,SAR,Electronics,2025-09-23 14:20:52+0300,2025-09-23 11:20:52+0000
OMS,ORD500068,3,1003,SKU00004,3,152.54,457.62,68.64,388.98,KSA,SAR,Accessories,2025-09-23 14:20:52+0300,2025-09-23 11:20:52+0000
OMS,ORD500069,1,1003,SKU00142,2,354.28,708.56,106.28,602.28,KSA,SAR,Electronics,2025-08-29 11:09:17+0300,2025-08-29 08:09:17+0000
OMS,ORD500070,1,1004,SKU00007,1,308.9,308.9,46.33,262.57,KSA,SAR,Fashion,2025-10-20 12:39:10+0300,2025-10-20 09:39:10+0000
OMS,ORD500071,1,1004,SKU00068,2,107.51,215.02,32.25,182.77,KSA,SAR,Accessories,2025-10-01 00:50:12+0300,2025-09-30 21:50:12+0000
OMS,ORD500072,1,1001,SKU00030,1,533.66,533.66,26.68,506.98,UAE,AED,Electronics,2025-09-30 01:15:19+0400,2025-09-29 21:15:19+0000
OMS,ORD500072,2,1001,SKU00088,3,458.9,1376.7,68.84,1307.86,UAE,AED,Fashion,2025-09-30 01:15:19+0400,2025-09-29 21:15:19+0000
OMS,ORD500073,1,1004,SKU00038,2,579.52,1159.04,173.86,985.18,KSA,SAR,Electronics,2025-10-25 23:15:07+0300,2025-10-25 20:15:07+0000
OMS,ORD500074,1,1002,SKU00196,2,149.89,299.78,14.99,284.79,UAE,AED,HomeAppliance,2025-10-23 15:55:21+0400,2025-10-23 11:55:21+0000
OMS,ORD500075,1,1000,SKU00101,2,669.78,1339.56,66.98,1272.58,UAE,AED,HomeAppliance,2025-09-05 02:40:14+0400,2025-09-04 22:40:14+0000
OMS,ORD500075,2,1000,SKU00056,3,438.91,1316.73,65.84,1250.89,UAE,AED,Electronics,2025-09-05 02:40:14+0400,2025-09-04 22:40:14+0000
OMS,ORD500075,3,1000,SKU00186,2,518.66,1037.32,51.87,985.45,UAE,AED,HomeAppliance,2025-09-05 02:40:14+0400,2025-09-04 22:40:14+0000
OMS,ORD500076,1,1003,SKU00098,1,601.44,601.44,90.22,511.22,KSA,SAR,Accessories,2025-09-26 01:19:40+0300,2025-09-25 22:19:40+0000
OMS,ORD500077,1,1001,SKU00000,2,658.71,1317.42,0.0,1317.42,UAE,AED,HomeAppliance,2025-08-19 16:03:53+0400,2025-08-19 12:03:53+0000
OMS,ORD500077,2,1001,SKU00031,2,360.24,720.48,36.02,684.46,UAE,AED,Fashion,2025-08-19 16:03:53+0400,2025-08-19 12:03:53+0000
OMS,ORD500077,3,1001,SKU00008,2,149.3,298.6,14.93,283.67,UAE,AED,Fashion,2025-08-19 16:03:53+0400,2025-08-19 12:03:53+0000
OMS,ORD500077,4,1001,SKU00194,2,550.06,1100.12,55.01,1045.11,UAE,AED,Electronics,2025-08-19 16:03:53+0400,2025-08-19 12:03:53+0000
OMS,ORD500078,1,1004,SKU00133,3,655.97,1967.91,295.19,1672.72,KSA,SAR,Electronics,2025-10-08 09:46:16+0300,2025-10-08 06:46:16+0000
OMS,ORD500079,1,1004,SKU00010,3,83.49,250.47,37.57,212.9,KSA,SAR,HomeAppliance,2025-08-07 18:04:30+0300,2025-08-07 15:04:30+0000
OMS,ORD500080,1,1003,SKU00183,1,485.7,485.7,72.85,412.85,KSA,SAR,Fashion,2025-08-05 10:46:42+0300,2025-08-05 07:46:42+0000
OMS,ORD500081,1,1002,SKU00187,1,30.84,30.84,1.54,29.3,UAE,AED,HomeAppliance,2025-10-04 04:51:18+0400,2025-10-04 00:51:18+0000
OMS,ORD500082,1,1005,SKU00035,1,556.82,556.82,83.52,473.3,KSA,SAR,HomeAppliance,2025-08-23 03:02:29+0300,2025-08-23 00:02:29+0000
OMS,ORD500082,2,1005,SKU00185,2,41.51,83.02,12.45,70.57,KSA,SAR,Electronics,2025-08-23 03:02:29+0300,2025-08-23 00:02:29+0000
OMS,ORD500083,1,1003,SKU00081,1,689.33,689.33,103.4,585.93,KSA,SAR,HomeAppliance,2025-10-15 01:22:47+0300,2025-10-14 22:22:47+0000
OMS,ORD500083,2,1003,SKU00169,1,755.71,755.71,0.0,755.71,KSA,SAR,Electronics,2025-10-15 01:22:47+0300,2025-10-14 22:22:47+0000
OMS,ORD500084,1,1002,SKU00171,3,39.4,118.2,5.91,112.29,UAE,AED,Fashion,2025-08-29 02:19:22+0400,2025-08-28 22:19:22+0000
OMS,ORD500084,2,1002,SKU00144,2,99.06,198.12,9.91,188.21,UAE,AED,Accessories,2025-08-29 02:19:22+0400,2025-08-28 22:19:22+0000
OMS,ORD500085,1,1002,SKU00161,1,694.07,694.07,34.7,659.37,UAE,AED,Electronics,2025-08-08 17:55:43+0400,2025-08-08 13:55:43+0000
OMS,ORD500086,1,1006,SKU00012,1,516.82,516.82,25.84,490.98,UAE,AED,Electronics,2025-10-23 01:02:05+0400,2025-10-22 21:02:05+0000
OMS,ORD500087,1,1003,SKU00067,1,782.98,782.98,117.45,665.53,KSA,SAR,HomeAppliance,2025-08-23 14:26:31+0300,2025-08-23 11:26:31+0000
OMS,ORD500088,1,1002,SKU00155,1,573.08,573.08,28.65,544.43,UAE,AED,HomeAppliance,2025-10-24 03:03:11+0400,2025-10-23 23:03:11+0000
OMS,ORD500088,2,1002,SKU00044,2,705.57,1411.14,70.56,1340.58,UAE,AED,HomeAppliance,2025-10-24 03:03:11+0400,2025-10-23 23:03:11+0000
OMS,ORD500088,3,1002,SKU00126,3,113.72,341.16,17.06,324.1,UAE,AED,Fashion,2025-10-24 03:03:11+0400,2025-10-23 23:03:11+0000
OMS,ORD500088,4,1002,SKU00062,2,442.42,884.84,44.24,840.6,UAE,AED,Fashion,2025-10-24 03:03:11+0400,2025-10-23 23:03:11+0000
OMS,ORD500089,1,1001,SKU00146,3,78.45,235.35,11.77,223.58,UAE,AED,Fashion,2025-08-10 19:21:01+0400,2025-08-10 15:21:01+0000
